Rank,Grade,Name,Followers
1,A+,PewDiePie,"92,660,727"
2,A++,T-Series,"92,414,604"
3,A+,5-Minute Crafts,"52,862,110"
4,A+,Canal KondZilla,"48,146,198"
5,A++,SET India,"45,046,812"
6,B,Justin Bieber,"44,105,966"
7,A++,Cocomelon - Nursery Rhymes,"42,364,383"
8,A+,WWE,"41,397,244"
9,A,Dude Perfect,"40,876,533"
10,B+,HolaSoyGerman.,"38,635,952"
11,A,Ed Sheeran,"37,922,740"
12,A+,Badabun,"37,292,948"
13,B+,EminemMusic,"36,831,530"
14,B+,whinderssonnunes,"35,317,842"
15,B+,Ariana Grande`,"34,512,885"
16,A,elrubiusOMG,"34,312,031"
17,A,JuegaGerman,"34,186,776"
18,A+,Zee Music Company,"34,093,224"
19,A,JustinBieberVEVO,"33,739,554"
20,B-,Katy Perry,"32,808,696"
21,B,Taylor Swift,"32,616,576"
22,A-,Fernanfloo,"32,515,459"
23,A+,Marshmello,"32,385,727"
24,A,Felipe Neto,"31,606,514"
25,A,TheEllenShow,"31,601,323"
1,A++,ninja,"13,855,456"
2,A++,shroud,"6,088,989"
3,A++,tfue,"5,484,933"
4,A++,tsm_myth,"4,964,949"
5,A++,summit1g,"3,761,758"
6,A++,timthetatman,"3,596,845"
7,A++,dakotaz,"3,576,215"
8,A++,riotgames,"3,517,731"
9,A++,tsm_daequan,"3,455,862"
10,A++,drdisrespect,"3,373,099"
11,A++,drlupo,"3,178,907"
12,A++,esl_csgo,"2,920,828"
13,A++,pokimane,"2,916,417"
14,A+,syndicate,"2,696,179"
15,A++,imaqtpie,"2,562,894"
16,A+,nickmercs,"2,531,122"
17,A++,sodapoppin,"2,413,439"
18,A++,lirik,"2,407,874"
19,A++,nightblue3,"2,394,311"
20,A++,loltyler1,"2,310,488"
21,A+,sypherpk,"2,178,766"
22,A+,fortnite,"1,796,584"
23,A+,alanzoka,"1,793,993"
24,A+,castro_1021,"1,781,300"
25,A+,cdnthe3rd,"1,776,642"
1,A++,katyperry,"107,098,197"
2,A++,BarackObama,"105,481,912"
3,A++,justinbieber,"105,215,453"
4,A++,rihanna,"90,316,892"
5,A++,taylorswift13,"83,185,052"
6,A++,ladygaga,"78,409,430"
7,A++,Cristiano,"77,345,271"
8,A++,TheEllenShow,"77,330,630"
9,A++,YouTube,"71,399,622"
10,A++,jtimberlake,"64,832,308"
11,A++,ArianaGrande,"61,738,811"
12,A++,KimKardashian,"60,243,025"
13,A++,realDonaldTrump,"59,498,538"
14,A++,ddlovato,"57,439,469"
15,A++,selenagomez,"57,379,533"
16,A++,britneyspears,"56,441,103"
17,A+,Twitter,"56,044,118"
18,A+,cnnbrk,"54,960,168"
19,A+,shakira,"51,082,889"
20,A+,jimmyfallon,"50,951,781"
21,A+,BillGates,"46,936,440"
22,A+,narendramodi,"46,699,399"
23,A+,JLo,"43,565,739"
24,A+,nytimes,"43,156,429"
