Rank,Grade,User name,Category,Likes,Talking about
1,A++,Facebook,Facebook,"213,805,630","368,901"
2,A++,Real Madrid C.F.,Real Madrid C.F.,"109,509,674","584,995"
3,A++,Coca-Cola,Coca-Cola,"107,502,436","12,280"
4,A,National Geographic,National Geographic,"63,145,117","4,408"
5,A,Vonvon US,Vonvon US,"61,734,801","265,344"
6,A,KFC Sri Lanka,KFC Sri Lanka,"53,290,206","11,147"
7,A,Disney,Disney,"51,448,812","5,921"
8,A,FC Bayern München,FC Bayern München,"50,069,281","123,245"
9,A,FC Bayern München,FC Bayern München,"50,066,820","216,920"
10,A-,Red Bull,Red Bull,"48,977,787","1,005,871"
11,A-,Windows,Windows,"46,148,406",18
12,A-,AVATAR - Singapore,AVATAR - Singapore,"45,919,825",0
13,A-,OREO,OREO,"42,627,341","227,611"
14,A-,OPPO Mobile Italia,OPPO Mobile Italia,"38,845,891",262
15,A-,adidas,adidas,"35,635,112","1,154"
16,A-,Maybelline New York,Maybelline New York,"35,311,271","7,880"
17,A-,L'Oréal Paris,L'Oréal Paris,"35,266,856","8,645"
18,A-,Jesus Daily,Jesus Daily,"34,213,790","412,887"
19,A-,Volkswagen,Volkswagen,"33,846,608","28,420"
20,A-,Marvel,Marvel,"32,279,105","1,777"
21,A-,adidas Originals,adidas Originals,"32,176,334","43,417"
22,A-,CNN,CNN,"31,130,499","2,090,204"
23,A-,Sony Pictures,Sony Pictures,"29,602,119","1,134"
24,B+,Cartoon Network,Cartoon Network,"27,045,733","22,826"
25,B+,ASUS,ASUS,"26,649,617","107,375"
