Rank,Grade,User name,Display name,Media,Followers,Following
1,A++ ,therock,therock,"4,179","137,378,247",355
2,A++ ,leomessi,Leo Messi,434,"113,283,280",223
3,A++ ,neymarjr,EneJota ,"4,419","113,048,137",981
4,A++ ,natgeo,National Geographic,"19,807","106,200,570",129
5,A++ ,jlo,Jennifer Lopez,"2,698","90,690,989","1,100"
6,A++ ,nike,nike,724,"86,251,106",56
7,A++ ,katyperry,KATY PERRY,"1,144","78,224,159",425
8,A++ ,kevinhart4real,Kevin Hart,"6,161","72,029,346",537
9,A++ ,realmadrid,Real Madrid C.F.,"2,650","70,426,953",34
10,A++ ,theellenshow,Ellen,"7,267","69,342,722",353
11,A++ ,fcbarcelona,FC Barcelona,"11,706","67,563,608",50
12,A++ ,victoriassecret,Victoria's Secret,"7,442","65,657,793",550
13,A++ ,9gag,9GAG: Go Fun The World,"19,068","50,361,228",28
14,A++ ,ronaldinho,Ronaldo de Assis Moreira,"2,305","43,701,180",291
15,A++ ,iamcardib,CARDIVENOM,655,"42,613,833","3,069"
16,A++ ,jamesrodriguez10,James Rodríguez,845,"41,158,869",494
17,A++ ,nasa,NASA,"2,583","40,189,617",84
18,A++ ,garethbale11,Gareth Bale,825,"39,322,437",61
19,A++ ,priyankachopra,Priyanka Chopra Jonas,"2,775","38,335,616",426
20,A++ ,championsleague,UEFA Champions League,"8,399","37,270,083",469
21,A++ ,nikefootball,Nike Football (Soccer),"1,664","37,222,723",263
22,A++ ,anitta,anitta ,"3,646","36,846,234","1,674"
23,A++ ,marcelotwelve,Marcelo Vieira Jr.,"1,998","36,787,731","1,204"
24,A++ ,nba,NBA,"29,213","35,788,300",825
