Rank,Grade,User name,Followers,Channel views,Level,Latest game
1,A++,Xbox,"435,524","8,333,180",105,ARK: Survival Evolved
2,A++,Ship,"397,919","6,115,348",112,Fortnite
3,A++,TheGrefg,"383,607","31,942,191",89,Fortnite
4,A++,SIEFE,"320,660","4,526,008",111,Apex Legends
5,A++,JaredFPS,"314,668","3,986,638",123,Apex Legends
6,A++,QueenEliminator,"222,658","2,358,732",114,Call Of Duty: Black Ops 4
7,A++,HypeZoneFortnite,"218,462","11,855,818",100,Fortnite
8,A++,NVAD3,"206,988","2,221,004",118,Fortnite
9,A++,Archonaut,"204,741","2,990,734",112,Apex Legends
10,A++,Phixate,"191,969","2,608,767",109,Web Show
11,A+,ChannelOne,"185,928","20,095,262",115,Web Show
12,A+,Covent,"167,594","2,770,747",116,Apex Legends
13,A+,PaladinsGame,"164,070","19,911,094",110,Paladins: Champions of the Realm
14,A+,ORIGINPC,"161,101","85,671",81,Tom Clancy's The Division 2
15,A+,AtlasOfficial,"147,353","1,549,082",114,Black Desert Online
16,A+,Xboxinteractive,"142,617","5,614,589",118,Marvel vs Capcom: Infinite
17,A+,britni,"138,942","1,765,545",114,Web Show
18,A+,Kabby,"137,028","3,752,288",116,Kingdom Come: Deliverance
19,A+,Mystiique,"129,261","1,504,129",109,Tom Clancy's Rainbow Six Siege
20,A+,Ampeterby7,"124,721","5,228,160",90,Fortnite
21,A+,AnthonyDay,"123,876","1,764,185",115,Fortnite
22,A+,Beautyxskillz,"123,457","1,095,840",103,Fortnite
23,A+,AlphaSniper97,"121,876","7,976,692",84,Fortnite
24,A+,bytarifa,"120,170","6,764,473",107,Fortnite
25,A+,Monstercat,"119,670","6,476,669",119,Music
