Rank,Grade,User name,Last game,Views,Followers
1,A++,ninja,Sekiro: Shadows Die Twice,"436,413,446","436,413,446"
2,A++,shroud,Tom Clancy's Rainbow Six: Siege,"295,457,042","295,457,042"
3,A++,tfue,Fortnite,"101,339,519","101,339,519"
4,A++,tsm_myth,Fortnite,"73,662,324","73,662,324"
5,A++,summit1g,Grand Theft Auto V,"278,377,655","278,377,655"
6,A++,timthetatman,Fortnite,"131,024,626","131,024,626"
7,A++,dakotaz,Fortnite,"86,811,967","86,811,967"
8,A++,riotgames,League of Legends,"1,113,645,453","1,113,645,453"
9,A++,tsm_daequan,Fortnite,"45,819,700","45,819,700"
10,A++,drdisrespect,Apex Legends,"124,023,194","124,023,194"
11,A++,drlupo,Escape From Tarkov,"58,473,566","58,473,566"
12,A++,esl_csgo,Counter-Strike: Global Offensive,"341,856,670","341,856,670"
13,A++,pokimane,Grand Theft Auto V,"62,272,866","62,272,866"
14,A+,syndicate,Talk Shows & Podcasts,"55,243,732","55,243,732"
15,A++,imaqtpie,League of Legends,"312,314,854","312,314,854"
16,A+,nickmercs,Fortnite,"54,683,404","54,683,404"
17,A++,sodapoppin,Grand Theft Auto V,"266,094,877","266,094,877"
18,A++,lirik,Grand Theft Auto V,"291,646,316","291,646,316"
19,A++,nightblue3,League of Legends,"207,109,791","207,109,791"
20,A++,loltyler1,League of Legends,"110,632,692","110,632,692"
21,A+,sypherpk,Fortnite,"37,229,127","37,229,127"
22,A+,fortnite,Fortnite,"39,619,002","39,619,002"
23,A+,alanzoka,Just Chatting,"57,398,115","57,398,115"
24,A+,castro_1021,FIFA 19,"63,409,330","63,409,330"
25,A+,cdnthe3rd,Auto Chess,"37,920,660","37,920,660"
