Rank,Grade,User name,Display name,Tweets,Followers,Following
1,A++,katyperry,KATY PERRY,"9,763","107,098,197",214
2,A++,BarackObama,Barack Obama,"15,603","105,481,912","614,909"
3,A++,justinbieber,Justin Bieber,"30,487","105,215,453","296,707"
4,A++,rihanna,Rihanna,"10,257","90,316,892","1,086"
5,A++,taylorswift13,Taylor Swift,104,"83,185,052",0
6,A++,ladygaga,Lady Gaga,"8,951","78,409,430","125,140"
7,A++,Cristiano,Cristiano Ronaldo,"3,369","77,345,271",52
8,A++,TheEllenShow,Ellen DeGeneres,"19,106","77,330,630","33,015"
9,A++,YouTube,YouTube,"23,234","71,399,622","1,020"
10,A++,jtimberlake,Justin Timberlake,"4,070","64,832,308",289
11,A++,ArianaGrande,Ariana Grande,"44,477","61,738,811","61,622"
12,A++,KimKardashian,Kim Kardashian West,"29,052","60,243,025",144
13,A++,realDonaldTrump,Donald J. Trump,"41,098","59,498,538",45
14,A++,ddlovato,Demi Lovato,"17,080","57,439,469",535
15,A++,selenagomez,Selena Gomez,"4,385","57,379,533","1,188"
16,A++,britneyspears,Britney Spears,"5,637","56,441,103","382,563"
17,A+,Twitter,Twitter,"9,717","56,044,118",140
18,A+,cnnbrk,CNN Breaking News,"65,427","54,960,168",121
19,A+,shakira,Shakira,"6,178","51,082,889",212
20,A+,jimmyfallon,jimmy fallon,"11,717","50,951,781","8,762"
21,A+,BillGates,Bill Gates,"3,011","46,936,440",201
22,A+,narendramodi,Chowkidar Narendra Modi,"22,836","46,699,399","2,160"
23,A+,JLo,Jennifer Lopez,"14,458","43,565,739","1,683"
24,A+,nytimes,The New York Times,"354,816","43,156,429",887
25,A+,neymarjr,Neymar Jr,"41,459","42,829,272",751
