Rank,Grade,Display name,Videos,Subscribers,Views
1,A+,PewDiePie,"3,793","92,660,727","20,967,122,663"
2,A++,T-Series,"13,259","92,414,604","66,403,419,933"
3,A+,5-Minute Crafts,"2,915","52,862,110","13,067,496,383"
4,A+,Canal KondZilla,"1,006","48,146,198","23,906,671,890"
5,A++,SET India,"30,033","45,046,812","31,316,111,225"
6,B,Justin Bieber,132,"44,105,966","604,665,739"
7,A++,Cocomelon - Nursery Rhymes,412,"42,364,383","24,261,346,787"
8,A+,WWE,"40,480","41,397,244","31,057,788,396"
9,A,Dude Perfect,202,"40,876,533","7,588,057,441"
10,B+,HolaSoyGerman.,137,"38,635,952","3,855,895,920"
11,A,Ed Sheeran,123,"37,922,740","16,349,384,912"
12,A+,Badabun,"3,927","37,292,948","11,128,719,672"
13,B+,EminemMusic,117,"36,831,530","674,964,338"
14,B+,whinderssonnunes,363,"35,317,842","2,878,836,806"
15,B+,Ariana Grande`,128,"34,512,885","779,586,170"
16,A,elrubiusOMG,798,"34,312,031","7,464,797,017"
17,A,JuegaGerman,"1,589","34,186,776","9,004,850,112"
18,A+,Zee Music Company,"4,042","34,093,224","15,947,925,757"
19,A,JustinBieberVEVO,122,"33,739,554","18,557,222,738"
20,B-,Katy Perry,95,"32,808,696","358,257,368"
21,B,Taylor Swift,160,"32,616,576","235,208,865"
22,A-,Fernanfloo,534,"32,515,459","6,900,608,412"
23,A+,Marshmello,275,"32,385,727","5,461,621,717"
24,A,Felipe Neto,"1,673","31,606,514","6,440,536,026"
25,A,TheEllenShow,"10,062","31,601,323","15,359,359,271"
