1,A++,ninja,Fortnite,"432,795,695","432,795,695"
2,A++,shroud,Apex Legends,"294,024,513","294,024,513"
3,A++,tfue,Fortnite,"97,794,018","97,794,018"
4,A++,tsm_myth,Fortnite,"73,245,115","73,245,115"
5,A++,meclipse,PLAYERUNKNOWN'S BATTLEGROUNDS,"242,068,259","242,068,259"
6,A++,summit1g,Grand Theft Auto V,"275,797,383","275,797,383"
7,A++,timthetatman,Just Chatting,"129,420,909","129,420,909"
8,A++,dakotaz,Fortnite,"85,949,591","85,949,591"
9,A++,riotgames,League of Legends,"1,110,037,853","1,110,037,853"
10,A++,tsm_daequan,Fortnite,"45,566,539","45,566,539"
11,A++,drdisrespect,Battlefield V,"122,840,987","122,840,987"
12,A++,drlupo,Battlefield V,"57,727,490","57,727,490"
13,A++,esl_csgo,Counter-Strike: Global Offensive,"341,528,274","341,528,274"
14,A++,pokimane,Just Chatting,"61,327,045","61,327,045"
15,A+,syndicate,Grand Theft Auto V,"55,172,906","55,172,906"
16,A++,imaqtpie,League of Legends,"311,662,042","311,662,042"
17,A++,esltv_cs,Counter-Strike: Global Offensive,"302,724,388","302,724,388"
18,A+,nickmercs,Fortnite,"53,934,266","53,934,266"
19,A++,sodapoppin,Just Chatting,"264,891,711","264,891,711"
20,A++,lirik,Grand Theft Auto V,"290,778,732","290,778,732"
21,A++,nightblue3,League of Legends,"207,092,644","207,092,644"
22,A++,lirikk,Just Chatting,"271,909,555","271,909,555"
23,A++,loltyler1,League of Legends,"107,263,490","107,263,490"
24,A+,sypherpk,Fortnite,"36,825,077","36,825,077"
25,A+,cdnthe3rd,Auto Chess,"37,823,393","37,823,393"
