Rank,Grade,Name,Followers
1,A++,katyperry,"107,143,858"
2,A++,BarackObama,"105,583,780"
3,A++,justinbieber,"105,232,901"
4,A++,rihanna,"90,406,551"
5,A++,taylorswift13,"83,169,943"
6,A++,ladygaga,"78,444,394"
7,A++,Cristiano,"77,456,278"
8,A++,TheEllenShow,"77,403,137"
9,A++,YouTube,"71,433,438"
10,A++,jtimberlake,"64,846,707"
11,A++,ArianaGrande,"61,892,310"
12,A++,KimKardashian,"60,309,337"
13,A++,realDonaldTrump,"59,621,143"
14,A++,ddlovato,"57,439,469"
15,A++,selenagomez,"57,416,311"
16,A++,britneyspears,"56,420,687"
17,A+,Twitter,"56,059,865"
18,A+,cnnbrk,"54,998,843"
19,A+,shakira,"51,092,693"
20,A+,jimmyfallon,"50,980,338"
21,A+,BillGates,"46,983,348"
22,A+,narendramodi,"46,788,106"
23,A+,JLo,"43,571,424"
24,A+,nytimes,"43,199,274"
25,A+,neymarjr,"42,887,567"
1,A++ ,therock,"138,256,408"
2,A++ ,leomessi,"113,827,645"
3,A++ ,neymarjr,"113,275,629"
4,A++ ,natgeo,"106,872,772"
5,A++ ,jlo,"91,202,451"
6,A++ ,nike,"86,421,126"
7,A++ ,katyperry,"78,646,561"
8,A++ ,kevinhart4real,"72,462,761"
9,A++ ,realmadrid,"70,658,436"
10,A++ ,theellenshow,"69,773,859"
11,A++ ,fcbarcelona,"67,933,576"
12,A++ ,victoriassecret,"65,756,030"
13,A++ ,9gag,"50,315,126"
14,A++ ,ronaldinho,"43,913,985"
15,A++ ,iamcardib,"42,488,427"
16,A++ ,jamesrodriguez10,"41,179,168"
17,A++ ,nasa,"40,383,593"
18,A++ ,garethbale11,"39,534,288"
19,A++ ,priyankachopra,"38,636,902"
20,A++ ,championsleague,"37,648,358"
21,A++ ,nikefootball,"37,309,621"
22,A++ ,anitta,"36,985,152"
23,A++ ,marcelotwelve,"36,956,310"
24,A++ ,nba,"35,925,757"
25,A++ ,brunamarquezine,"34,477,479"
1,A++,Facebook,NA
2,A++,Real Madrid C.F.,NA
3,A+,Coca-Cola,NA
4,A,National Geographic,NA
5,A,Vonvon US,NA
6,A,KFC Sri Lanka,NA
7,A-,Disney,NA
8,A-,FC Bayern München,NA
9,A-,FC Bayern München,NA
10,A-,Red Bull,NA
11,A-,Windows,NA
12,A-,AVATAR - Singapore,NA
13,A-,OREO,NA
14,A-,OPPO Mobile Italia,NA
15,A-,Maybelline New York,NA
16,A-,L'Oréal Paris,NA
17,A-,Jesus Daily,NA
18,A-,Volkswagen,NA
19,A-,Marvel,NA
20,A-,adidas Originals,NA
21,A-,Prince Royce,NA
22,A-,CNN,NA
23,A-,Sony Pictures,NA
24,B+,Cartoon Network,NA
25,B+,ASUS,NA
1,A++,redbull,"54,206"
2,A++,spi0n,"48,207"
3,A++,contvreal,"43,487"
4,A++,humtv,"41,089"
5,A++,watchmojo,"37,085"
6,A++,splashnews,"30,040"
7,A++,karimdebbache,"29,924"
8,A+,got7,"29,599"
9,A+,tjhinnjatngo,"29,279"
10,A+,arynews,"28,128"
11,A+,bangtansubs2,"28,082"
12,A+,techinside,"26,990"
13,A+,sohailshoukat2704,"26,968"
14,A+,cokestudiopakistan,"26,209"
15,A+,jypentertainment,"25,783"
16,A+,fanreviews,"25,019"
17,A+,twiceonair,"24,896"
18,A+,geonews,"22,844"
19,A+,odn,"22,384"
20,A+,bts,"22,071"
21,A+,smashplus,"21,791"
22,A+,arydigitalofficial,"21,780"
23,A+,wochit,"21,021"
24,A+,cbsnews,"20,970"
25,A+,entertainmenttonight,"20,664"
1,A++,TheGrefg,"544,160"
2,A++,Xbox,"436,102"
3,A++,Ship,"409,869"
4,A++,SIEFE,"321,139"
5,A++,JaredFPS,"316,944"
6,A++,QueenEliminator,"223,953"
7,A++,HypeZoneFortnite,"220,456"
8,A++,NVAD3,"209,269"
9,A++,Archonaut,"205,558"
10,A++,Phixate,"191,884"
11,A+,ChannelOne,"188,887"
12,A+,Covent,"168,397"
13,A+,PaladinsGame,"167,358"
14,A+,ORIGINPC,"163,300"
15,A+,AtlasOfficial,"147,871"
16,A+,Xboxinteractive,"143,005"
17,A+,britni,"140,187"
18,A+,Kabby,"137,613"
19,A+,Mystiique,"131,534"
20,A+,Ampeterby7,"127,430"
21,A+,SmiteGame,"127,316"
22,A+,AnthonyDay,"124,552"
23,A+,AlphaSniper97,"123,952"
24,A+,Beautyxskillz,"123,403"
25,A+,Agustin51,"122,408"
