Rank,Grade,User name,Display name,Media,Followers,Vidviews
1,A++,redbull,Red Bull,"1,488","54,190","14,134,047"
2,A++,spi0n,Spi0n,"14,424","48,207","997,179,879"
3,A++,contvreal,ConTV Hub™ 4K,60,"43,487","551,039"
4,A++,humtv,HUM TV,"1,053","41,079","93,265,876"
5,A++,watchmojo,WatchMojo,"14,590","37,072","32,104,802"
6,A++,splashnews,Splash News TV,"27,304","30,041","96,092,269"
7,A++,karimdebbache,Karim Debbache,45,"29,921","12,255,477"
8,A+,got7,GOT7,209,"29,583","353,501"
9,A+,tjhinnjatngo,Thai4U Channel,"4,704","29,279","14,855,189"
10,A+,arynews,ARY NEWS,"73,124","28,128","160,489,204"
11,A+,bangtansubs2,bangtansubs,"1,081","28,082","7,897,907"
12,A+,techinside,Tech Inside,42,"26,991","1,933,847"
13,A+,sohailshoukat2704,HD Hungama Official Channel,"3,505","26,969","27,219,741"
14,A+,cokestudiopakistan,Coke Studio Pakistan,335,"26,208","16,688,381"
15,A+,jypentertainment,JYP Nation,964,"25,776","7,747,739"
16,A+,fanreviews,FanReviews,"4,733","25,019","59,205,741"
17,A+,twiceonair,TWICE,112,"24,886","755,730"
18,A+,geonews,Geo News,"49,555","22,844","73,206,554"
19,A+,odn,ODN,"43,001","22,384","67,068,196"
20,A+,bts,BTS,4,"22,018","13,813"
21,A+,smashplus,SMASH FLIX,"9,869","21,792","71,070,067"
22,A+,arydigitalofficial,ARY Digital,"18,782","21,776","43,363,408"
23,A+,wochit,Wochit,"304,140","21,007","100,934,775"
24,A+,cbsnews,CBS News,"80,404","20,949","42,714,846"
25,A+,entertainmenttonight,Entertainment Tonight,"30,433","20,660","42,690,040"
