Rank,Grade,User name,Category,Likes,Talking about
1,A++,Facebook,Facebook,"213,847,788",0
2,A++,Real Madrid C.F.,Real Madrid C.F.,"109,507,926",0
3,A+,Coca-Cola,Coca-Cola,"107,517,702",0
4,A,National Geographic,National Geographic,"63,156,196",0
5,A,Vonvon US,Vonvon US,"61,714,546",0
6,A,KFC Sri Lanka,KFC Sri Lanka,"53,335,841",0
7,A-,Disney,Disney,"51,448,041","4,532"
8,A-,FC Bayern München,FC Bayern München,"50,061,712","255,996"
9,A-,FC Bayern München,FC Bayern München,"50,061,712",0
10,A-,Red Bull,Red Bull,"48,974,684",0
11,A-,Windows,Windows,"46,123,400",0
12,A-,AVATAR - Singapore,AVATAR - Singapore,"45,899,407",0
13,A-,OREO,OREO,"42,614,831",0
14,A-,OPPO Mobile Italia,OPPO Mobile Italia,"38,896,276",0
15,A-,Maybelline New York,Maybelline New York,"35,311,271","7,880"
16,A-,L'Oréal Paris,L'Oréal Paris,"35,266,856","8,645"
17,A-,Jesus Daily,Jesus Daily,"34,246,720","540,001"
18,A-,Volkswagen,Volkswagen,"33,848,603",0
19,A-,Marvel,Marvel,"32,381,790",0
20,A-,adidas Originals,adidas Originals,"32,186,375",0
21,A-,Prince Royce,Prince Royce,"31,800,974",0
22,A-,CNN,CNN,"31,129,738",0
23,A-,Sony Pictures,Sony Pictures,"29,594,885",0
24,B+,Cartoon Network,Cartoon Network,"27,033,544",0
25,B+,ASUS,ASUS,"26,643,432",0
