Rank,Grade,User name,Display name,Media,Followers,Following
1,A++ ,therock,therock,"4,189","137,914,030",356
2,A++ ,leomessi,Leo Messi,438,"113,667,724",223
3,A++ ,neymarjr,EneJota ,"4,423","113,190,361",981
4,A++ ,natgeo,National Geographic,"19,844","106,671,034",129
5,A++ ,jlo,Jennifer Lopez,"2,706","91,014,138","1,101"
6,A++ ,nike,nike,724,"86,369,363",56
7,A++ ,katyperry,KATY PERRY,"1,149","78,525,770",426
8,A++ ,kevinhart4real,Kevin Hart,"6,173","72,279,393",539
9,A++ ,realmadrid,Real Madrid C.F.,"2,656","70,592,058",34
10,A++ ,theellenshow,Ellen,"7,285","69,677,554",354
11,A++ ,fcbarcelona,FC Barcelona,"11,726","67,790,612",50
12,A++ ,victoriassecret,Victoria's Secret,"7,459","65,733,041",549
13,A++ ,9gag,9GAG: Go Fun The World,"19,127","50,325,327",28
14,A++ ,ronaldinho,Ronaldo de Assis Moreira,"2,313","43,824,086",295
15,A++ ,iamcardib,CARDIVENOM,667,"42,483,558","3,066"
16,A++ ,jamesrodriguez10,James Rodríguez,845,"41,168,508",497
17,A++ ,nasa,NASA,"2,588","40,329,799",84
18,A++ ,garethbale11,Gareth Bale,827,"39,470,503",62
19,A++ ,priyankachopra,Priyanka Chopra Jonas,"2,778","38,551,427",427
20,A++ ,championsleague,UEFA Champions League,"8,427","37,509,573",469
21,A++ ,nikefootball,Nike Football (Soccer),"1,666","37,280,970",257
22,A++ ,anitta,anitta ,"3,665","36,948,486","1,685"
23,A++ ,marcelotwelve,Marcelo Vieira Jr.,"2,001","36,876,216","1,206"
24,A++ ,nba,NBA,"29,298","35,885,130",825
25,A++ ,brunamarquezine,Bruna Marquezine ♡,"2,731","34,477,479",928
