Rank,Grade,User name,Followers,Channel views,Level,Latest game
1,A++,TheGrefg,"544,160","32,437,137",90,Fortnite
2,A++,Xbox,"436,102","8,341,784",105,Fallout 76
3,A++,Ship,"409,869","6,313,752",112,Fortnite
4,A++,SIEFE,"321,139","4,548,350",111,Apex Legends
5,A++,JaredFPS,"316,944","4,022,966",123,Fortnite
6,A++,QueenEliminator,"223,953","2,378,094",114,Call Of Duty: Black Ops 4
7,A++,HypeZoneFortnite,"220,456","11,933,950",100,Fortnite
8,A++,NVAD3,"209,269","2,252,249",118,SMITE
9,A++,Archonaut,"205,558","3,017,309",113,Apex Legends
10,A++,Phixate,"191,884","2,609,008",109,Web Show
11,A+,ChannelOne,"188,887","20,783,974",115,Web Show
12,A+,Covent,"168,397","2,797,654",116,Apex Legends
13,A+,PaladinsGame,"167,358","20,665,868",110,Paladins: Champions of the Realm
14,A+,ORIGINPC,"163,300","86,432",81,Web Show
15,A+,AtlasOfficial,"147,871","1,565,972",115,Black Desert Online
16,A+,Xboxinteractive,"143,005","5,634,438",118,Battlefield V
17,A+,britni,"140,187","1,792,257",114,Apex Legends
18,A+,Kabby,"137,613","3,775,553",116,Tom Clancy's The Division 2
19,A+,Mystiique,"131,534","1,537,835",109,Fortnite
20,A+,Ampeterby7,"127,430","5,316,905",90,Fortnite
21,A+,SmiteGame,"127,316","12,787,703",111,SMITE
22,A+,AnthonyDay,"124,552","1,775,106",115,Fortnite
23,A+,AlphaSniper97,"123,952","8,118,833",85,Fortnite
24,A+,Beautyxskillz,"123,403","1,095,840",103,Fortnite
25,A+,Agustin51,"122,408","8,129,077",91,Fortnite
