Rank,Grade,User name,Last game,Views,Followers
1,A++,ninja,Fortnite,"438,832,585","438,832,585"
2,A++,shroud,Just Chatting,"296,758,725","296,758,725"
3,A++,tfue,Fortnite,"103,656,448","103,656,448"
4,A++,tsm_myth,Fortnite,"73,941,477","73,941,477"
5,A++,summit1g,Grand Theft Auto V,"280,309,580","280,309,580"
6,A++,timthetatman,Just Chatting,"131,911,412","131,911,412"
7,A++,dakotaz,Fortnite,"87,239,579","87,239,579"
8,A++,riotgames,League of Legends,"1,117,683,849","1,117,683,849"
9,A++,tsm_daequan,Fortnite,"45,955,928","45,955,928"
10,A++,drdisrespect,Apex Legends,"124,465,431","124,465,431"
11,A++,drlupo,Fortnite,"59,588,779","59,588,779"
12,A++,pokimane,Just Chatting,"62,745,982","62,745,982"
13,A++,esl_csgo,Counter-Strike: Global Offensive,"342,105,037","342,105,037"
14,A+,syndicate,Talk Shows & Podcasts,"55,245,421","55,245,421"
15,A++,imaqtpie,League of Legends,"312,650,994","312,650,994"
16,A+,nickmercs,Fortnite,"55,141,633","55,141,633"
17,A++,sodapoppin,Grand Theft Auto V,"266,543,027","266,543,027"
18,A++,lirik,Grand Theft Auto V,"292,445,999","292,445,999"
19,A++,nightblue3,League of Legends,"207,243,250","207,243,250"
20,A++,loltyler1,League of Legends,"111,509,717","111,509,717"
21,A+,sypherpk,Fortnite,"37,490,034","37,490,034"
22,A+,alanzoka,Just Chatting,"58,417,254","58,417,254"
23,A+,fortnite,Fortnite,"39,673,708","39,673,708"
24,A+,castro_1021,FIFA 19,"63,604,831","63,604,831"
25,A+,cdnthe3rd,Auto Chess,"37,957,707","37,957,707"
