Rank,Grade,Display name,Videos,Subscribers,Views
1,A+,PewDiePie,"3,799","93,590,202","21,068,830,637"
2,A++,T-Series,"13,282","93,172,704","66,894,260,234"
3,A+,5-Minute Crafts,"2,940","53,279,824","13,160,040,489"
4,A+,Canal KondZilla,"1,010","48,319,008","23,998,052,569"
5,A++,SET India,"30,148","45,469,641","31,599,789,257"
6,B,Justin Bieber,132,"44,187,650","604,918,938"
7,A++,Cocomelon - Nursery Rhymes,413,"42,967,366","24,712,144,247"
8,A+,WWE,"40,636","41,677,505","31,199,310,885"
9,A,Dude Perfect,202,"41,012,537","7,623,214,368"
10,B+,HolaSoyGerman.,137,"38,680,038","3,860,870,584"
11,A+,Badabun,"3,942","38,412,099","11,224,973,867"
12,A,Ed Sheeran,123,"37,997,775","16,382,305,365"
13,B+,EminemMusic,117,"36,913,806","677,890,889"
14,B+,whinderssonnunes,363,"35,359,712","2,883,762,703"
15,A-,Ariana Grande`,128,"34,683,120","790,826,379"
16,A+,Zee Music Company,"4,061","34,448,018","16,086,317,596"
17,A,elrubiusOMG,799,"34,359,994","7,478,563,043"
18,A,JuegaGerman,"1,589","34,271,712","9,024,279,243"
19,A,JustinBieberVEVO,122,"33,729,941","18,573,500,940"
20,B-,Katy Perry,95,"32,865,960","358,362,379"
21,A+,Marshmello,278,"32,695,355","5,531,363,286"
22,B,Taylor Swift,160,"32,651,119","235,526,772"
23,A-,Fernanfloo,534,"32,562,118","6,913,708,118"
24,A,Felipe Neto,"1,683","31,703,004","6,479,022,875"
25,A,TheEllenShow,"10,097","31,698,673","15,412,232,624"
