1,A++,T-Series,"13,232","91,402,283","65,739,599,076"
2,A,PewDiePie,"3,784","91,392,594","20,847,602,102"
3,A+,5-Minute Crafts,"2,879","52,452,995","12,959,863,624"
4,A+,Canal KondZilla,"1,001","47,972,692","23,768,351,345"
5,A++,SET India,"29,835","44,479,170","30,925,732,498"
6,B,Justin Bieber,132,"43,985,359","604,230,636"
7,A++,Cocomelon - Nursery Rhymes,410,"41,428,758","23,573,151,825"
8,A+,WWE,"40,325","41,057,546","30,859,480,226"
9,A,Dude Perfect,202,"40,504,858","7,510,355,359"
10,B+,HolaSoyGerman.,137,"38,557,415","3,848,492,392"
11,A,Ed Sheeran,123,"37,804,617","16,299,151,560"
12,A+,Badabun,"3,889","37,292,948","10,971,739,342"
13,B+,EminemMusic,117,"36,714,757","670,441,053"
14,B+,whinderssonnunes,363,"35,233,847","2,870,374,940"
15,B+,Ariana Grande`,127,"34,265,770","767,511,037"
16,A,elrubiusOMG,797,"34,230,738","7,443,571,166"
17,A,JuegaGerman,"1,585","34,035,693","8,966,724,192"
18,A,JustinBieberVEVO,122,"33,755,859","18,533,135,680"
19,A+,Zee Music Company,"4,026","33,573,384","15,736,721,472"
20,B-,Katy Perry,95,"32,725,414","358,124,540"
21,B,Taylor Swift,160,"32,570,653","234,737,084"
22,A-,Fernanfloo,534,"32,452,460","6,883,371,581"
23,A,Marshmello,272,"31,892,837","5,357,248,627"
24,B-,Rihanna,76,"31,544,552","60,554,032"
25,A,Felipe Neto,"1,658","31,477,494","6,375,244,150"
